검사일시,생산라인,온도,진동,회전수,압력
2026-08-24 19:00,B라인,0.6175,0.4545,0.5343,0.3678
2026-08-25 02:00,A라인,0.0623,0.0727,0.0188,0.0048
2026-08-25 09:00,A라인,0.1116,0.12,0.0135,0.0913
2026-08-25 07:00,C라인,0.8834,0.9927,0.941,0.7163
2026-08-25 12:00,A라인,0.1143,0.0727,0.0053,0.0216
2026-08-26 14:00,C라인,0.9134,0.9345,0.9781,0.7163
2026-08-26 05:00,C라인,0.9731,0.9382,0.9755,0.9832
2026-08-24 08:00,C라인,0.9146,0.8945,0.9265,0.6803
2026-08-26 11:00,A라인,0.0662,0.0036,0.0237,0.0144
2026-08-25 00:00,B라인,0.504,0.56,0.5318,0.4591
2026-08-25 17:00,C라인,0.918,0.9491,0.9881,0.6947
2026-08-25 21:00,A라인,0.0973,0.1273,0.0503,0.0385
2026-08-24 23:00,A라인,0.0908,0.0,0.0373,0.0048
2026-08-26 05:00,A라인,0.0162,0.0545,0.0121,0.0312
2026-08-26 16:00,C라인,0.9477,0.8727,0.9734,0.7067
2026-08-24 14:00,B라인,0.5952,0.5236,0.5129,0.363
2026-08-24 17:00,C라인,0.885,0.9236,0.9819,0.6779
2026-08-26 13:00,A라인,0.0446,0.0982,0.0524,0.0312
2026-08-24 19:00,A라인,0.0716,0.0836,0.0019,0.0144
2026-08-25 20:00,C라인,0.9969,0.8982,0.9428,0.4063
2026-08-26 02:00,A라인,0.5363,0.0364,0.0555,0.0409
2026-08-26 00:00,C라인,0.9446,0.8764,0.9919,0.6779
2026-08-25 08:00,A라인,0.0496,0.0945,0.0597,0.0577
2026-08-25 06:00,B라인,0.5764,0.5455,0.471,0.387
2026-08-25 05:00,A라인,0.5363,0.0073,0.0156,0.0192
2026-08-25 10:00,A라인,0.0639,0.12,0.0565,0.0793
2026-08-24 19:00,C라인,0.8919,0.9818,0.9763,0.7308
2026-08-25 20:00,A라인,0.0843,0.1309,0.003,0.0986
2026-08-25 13:00,A라인,0.0839,0.0109,0.0464,0.0505
2026-08-26 09:00,B라인,0.5252,0.4655,0.4798,0.3942
2026-08-25 19:00,A라인,0.6826,0.0218,0.0364,0.0024
2026-08-25 19:00,B라인,0.5164,0.4909,0.5197,0.4038
2026-08-24 14:00,B라인,0.5941,0.5236,0.5129,0.3678
2026-08-24 21:00,C라인,0.9885,0.9345,0.9604,0.7452
2026-08-24 06:00,B라인,0.5868,0.5091,0.5003,0.4327
2026-08-26 09:00,A라인,0.0477,0.0618,0.0457,0.0721
2026-08-24 21:00,A라인,0.0808,0.1127,0.0469,0.0457
2026-08-24 12:00,A라인,0.1189,0.0618,0.0609,0.0962
2026-08-25 13:00,C라인,0.5363,0.9236,0.9598,0.6779
2026-08-24 13:00,C라인,0.9523,0.9164,0.9292,0.7572
2026-08-24 23:00,B라인,0.499,0.4873,0.5364,0.3774
2026-08-24 16:00,C라인,0.97,0.9818,0.9637,0.7332
2026-08-26 01:00,B라인,0.5256,0.5091,0.5256,0.4063
2026-08-26 16:00,B라인,0.6202,0.4582,0.5324,0.4279
2026-08-24 10:00,A라인,0.0589,0.0655,0.007,0.0264
2026-08-25 11:00,B라인,0.5171,0.4727,0.49,0.4615
2026-08-25 10:00,C라인,0.9885,0.9636,0.9816,0.7716
2026-08-24 13:00,B라인,0.5371,0.4364,0.5317,0.3798
2026-08-25 14:00,C라인,0.9796,0.9345,0.9753,0.7548
2026-08-24 09:00,A라인,0.0235,0.5007,0.0348,0.0793
2026-08-24 15:00,A라인,0.0727,0.0,0.043,0.0457
2026-08-25 22:00,B라인,0.6137,0.4618,0.5158,0.3942
2026-08-26 12:00,A라인,0.1031,0.1091,0.0405,0.0409
2026-08-25 02:00,B라인,0.5741,0.5418,0.5283,0.4063
2026-08-25 19:00,C라인,0.9804,0.9345,0.9657,0.7139
2026-08-24 08:00,A라인,0.6595,0.0764,0.0252,0.0048
2026-08-25 07:00,A라인,0.0215,0.0182,0.061,0.0288
2026-08-25 21:00,C라인,0.975,1.0,0.9765,0.738
2026-08-25 03:00,A라인,0.0242,0.0291,0.0341,0.0
2026-08-26 01:00,C라인,0.9407,0.9455,0.9793,0.738
2026-08-25 11:00,C라인,0.9754,0.9491,0.9574,0.7596
2026-08-26 04:00,B라인,0.5756,0.5091,0.5316,0.4279
2026-08-26 07:00,C라인,0.945,0.9673,0.998,0.7043
2026-08-25 10:00,B라인,0.5298,0.4655,0.4669,0.4591
2026-08-25 17:00,B라인,0.529,0.4836,0.5328,0.3942
2026-08-24 14:00,A라인,0.0366,0.0582,0.0395,0.101
2026-08-24 15:00,B라인,0.5237,0.5236,0.4649,0.4495
2026-08-25 12:00,B라인,0.5464,0.5527,0.4712,0.4207
2026-08-26 03:00,C라인,0.9896,0.9673,0.9822,0.6731
2026-08-26 01:00,A라인,0.0762,0.0436,0.0181,0.0072
2026-08-25 04:00,C라인,0.117,0.9527,0.9486,0.6899
2026-08-26 06:00,C라인,0.9211,0.8982,0.9904,0.7452
2026-08-26 05:00,B라인,0.5652,0.5091,0.4678,0.399
2026-08-25 17:00,A라인,0.077,0.1018,0.0286,0.0673
2026-08-25 18:00,C라인,0.9488,0.9491,0.968,0.7764
2026-08-26 11:00,B라인,0.519,0.4727,0.4864,0.4183
2026-08-26 03:00,A라인,0.0631,0.0327,0.0069,0.101
2026-08-24 06:00,A라인,0.01,0.0655,0.0281,0.024
2026-08-26 00:00,A라인,0.1031,0.0873,0.0464,0.0913
2026-08-24 13:00,A라인,0.5363,0.0727,0.0428,0.0385
2026-08-25 03:00,B라인,0.6056,0.5527,0.4643,0.3726
2026-08-25 05:00,C라인,0.9392,0.9891,0.9908,0.7452
2026-08-25 09:00,C라인,0.8853,0.9091,0.9769,0.6995
2026-08-24 16:00,B라인,0.521,0.4909,0.4674,0.4014
2026-08-26 12:00,C라인,0.9477,0.9927,0.9974,0.6971
2026-08-26 08:00,C라인,0.9554,0.5007,0.9631,0.7404
2026-08-26 17:00,C라인,0.9988,0.9164,0.973,0.6947
2026-08-24 20:00,C라인,0.8996,0.9491,0.9728,0.762
2026-08-24 16:00,A라인,0.1016,0.0109,0.01,0.0673
2026-08-26 04:00,C라인,0.9696,0.88,0.9808,0.6827
2026-08-26 14:00,B라인,0.5387,0.56,0.4745,0.3678
2026-08-25 15:00,B라인,0.6091,0.5055,0.5307,0.4063
2026-08-26 06:00,A라인,0.1154,0.0509,0.0612,0.0481
2026-08-26 03:00,B라인,0.5044,0.48,0.4814,0.4231
2026-08-25 23:00,B라인,0.519,0.52,0.5047,0.3582
2026-08-24 12:00,B라인,0.5433,0.4618,0.5271,0.4639
2026-08-25 23:00,A라인,0.0619,0.0836,0.0684,0.0817
2026-08-25 16:00,C라인,0.8996,0.9309,0.9461,0.7356
2026-08-24 17:00,A라인,0.9365,0.0582,0.0097,0.0673
2026-08-25 01:00,B라인,0.6072,0.4982,0.517,0.3894
